TrialNames,Indiv,Trial,Speed,Amps,Angs,Freq,Position,Condition,Species,DaysPostAmp,SL,AmpsMax,NumPeaksOld,NumPeaks
Bspot2018_006_GoPro_T20_1998-278_000001,Bspot2018_006,T20_,0.404974672,0.02322287,1.329180605,3.025210084,85,Regen,Bspot,76,0.080319977,0.026417787,1.773109244,1.806722689
Bspot2018_006_GoPro_T20_1998-278_000001,Bspot2018_006,T20_,0.404974672,0.02568932,1.392031667,3.025210084,90,Regen,Bspot,76,0.080319977,0.029542856,1.773109244,1.806722689
Bspot2018_006_GoPro_T20_1998-278_000001,Bspot2018_006,T20_,0.404974672,0.027420935,1.393348085,3.025210084,95,Regen,Bspot,76,0.080319977,0.033199339,1.773109244,1.806722689
Bspot2018_006_GoPro_T20_1998-278_000001,Bspot2018_006,T20_,0.404974672,0.02798089,1.35606647,3.025210084,100,Regen,Bspot,76,0.080319977,0.036897239,1.773109244,1.806722689
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.670469196,0.017349028,4.03238656,4.337349398,0,Regen,Bspot,76,0.092748239,0.04042832,1.927710843,2.084337349
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.670469196,0.012990738,3.109169075,5.060240964,5,Regen,Bspot,76,0.092748239,0.03070937,1.927710843,2.084337349
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.670469196,0.009432588,2.153781271,5.060240964,10,Regen,Bspot,76,0.092748239,0.024961789,1.927710843,2.084337349
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.670469196,0.0060932,1.806890502,5.060240964,15,Regen,Bspot,76,0.092748239,0.022688423,1.927710843,2.084337349
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.670469196,0.007702653,0.928462042,4.337349398,20,Regen,Bspot,76,0.092748239,0.017490434,1.927710843,2.084337349
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.670469196,0.007637344,1.128027892,5.060240964,25,Regen,Bspot,76,0.092748239,0.012659892,1.927710843,2.084337349
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.670469196,0.008435826,1.150081121,6.506024096,30,Regen,Bspot,76,0.092748239,0.015693162,1.927710843,2.084337349
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.670469196,0.009801297,1.086149921,7.228915663,35,Regen,Bspot,76,0.092748239,0.018152591,1.927710843,2.084337349
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.670469196,0.013605818,1.053859249,5.060240964,40,Regen,Bspot,76,0.092748239,0.021686944,1.927710843,2.084337349
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.670469196,0.013330014,1.110074658,5.060240964,45,Regen,Bspot,76,0.092748239,0.01998511,1.927710843,2.084337349
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.670469196,0.012038429,0.919680698,5.78313253,50,Regen,Bspot,76,0.092748239,0.015391439,1.927710843,2.084337349
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.670469196,0.009861073,0.593345219,5.78313253,55,Regen,Bspot,76,0.092748239,0.013132296,1.927710843,2.084337349
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.670469196,0.00704609,0.495384192,6.506024096,60,Regen,Bspot,76,0.092748239,0.012620891,1.927710843,2.084337349
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.670469196,0.005977454,0.374927043,7.228915663,65,Regen,Bspot,76,0.092748239,0.012214542,1.927710843,2.084337349
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.670469196,0.008272728,0.43867936,5.060240964,70,Regen,Bspot,76,0.092748239,0.010391012,1.927710843,2.084337349
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.670469196,0.009019507,0.511205502,5.78313253,75,Regen,Bspot,76,0.092748239,0.013990431,1.927710843,2.084337349
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.670469196,0.012616507,0.700920283,5.060240964,80,Regen,Bspot,76,0.092748239,0.021295308,1.927710843,2.084337349
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.670469196,0.010438563,0.594993991,5.060240964,85,Regen,Bspot,76,0.092748239,0.027881748,1.927710843,2.084337349
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.670469196,0.011626898,0.736735342,5.78313253,90,Regen,Bspot,76,0.092748239,0.0363972,1.927710843,2.084337349
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.670469196,0.017713908,0.891685593,4.337349398,95,Regen,Bspot,76,0.092748239,0.040788131,1.927710843,2.084337349
