TrialNames,Indiv,Trial,Slope,Int,Position,Condition,Species
Bspot2018_010_GoPro_T14_1625-773_000000,Bspot2018_010,T14_,0.118492026,-0.037982724,pect,Regen,Bspot
Bspot2018_010_GoPro_T15_2615-1015_000000,Bspot2018_010,T15_,0.078938859,-0.034648736,pect,Regen,Bspot
Bspot2018_010_GoPro_T17_1619-136_000000,Bspot2018_010,T17_,0.091203328,0.04454816,pect,Regen,Bspot
Bspot2018_010_GoPro_T22_1524-532_000000,Bspot2018_010,T22_,0.134285081,-0.05649024,pect,Regen,Bspot
Bspot2018_010_GoPro_T59_1541-224,Bspot2018_010,T59_,0.130648923,0.156540202,pect,Regen,Bspot
Bspot2018_010_GoPro_T60_1672-480,Bspot2018_010,T60_,0.166622193,0.066477238,pect,Regen,Bspot
Bspot2018_010_GoPro_T64_1033-361,Bspot2018_010,T64_,0.068482683,0.029449954,pect,Regen,Bspot
Bspot2018_010_GoPro_T66_1020-355,Bspot2018_010,T66_,0.078336273,0.053429355,pect,Regen,Bspot
Bspot2018_010_GoPro_T71_763-370,Bspot2018_010,T71_,0.117420091,-0.095456621,pect,Regen,Bspot
Bspot2018_010_GoPro_T74_1063-337_000000,Bspot2018_010,T74_,0.152928241,-0.063368056,pect,Regen,Bspot
Bspot2018_010_GoPro_T75_1634-410_000000,Bspot2018_010,T75_,0.405368634,-0.325697126,pect,Regen,Bspot
Bspot2018_010_GoPro_T76_1523-918_000000,Bspot2018_010,T76_,0.163377761,-0.004796411,pect,Regen,Bspot
Bspot2018_010_GoPro_T79b_1092-0_000000,Bspot2018_010,T79b,0.085028345,-0.066099773,pect,Regen,Bspot
Bspot2018_010_GoPro_T84_1263-513_000000,Bspot2018_010,T84_,0.139240506,-0.176371308,pect,Regen,Bspot
Bspot2018_010_GoPro_T85_1509-975_000000,Bspot2018_010,T85_,0.120311987,0.465708812,pect,Regen,Bspot
Bspot2018_010_GoPro_T88_2565-1788_000000,Bspot2018_010,T88_,0.138647343,-0.059178744,pect,Regen,Bspot
Bspot2018_010_GoPro_T90f_1250_617,Bspot2018_010,T90f,0.089254386,-0.021710526,pect,Regen,Bspot
Bspot2019_006_GoPro_T83_1625-701_000000,Bspot2019_006,T83_,0.150268441,-0.075735294,pect,Regen,Bspot
Bspot2019_006_GoPro_T84_1627-556_000000,Bspot2019_006,T84_,0.19795207,0.238213508,pect,Regen,Bspot
Bspot2019_009_GoPro_T85_1491-755_000000,Bspot2019_009,T85_,0.120572643,0.003138951,pect,Regen,Bspot
Bspot2019_009_GoPro_T86_1411-375_000000,Bspot2019_009,T86_,0.179593692,-0.038489796,pect,Regen,Bspot
Bspot2019_009_GoPro_T87_1700-568_000000,Bspot2019_009,T87_,0.21748484,-0.094575976,pect,Regen,Bspot
Bspot2019_009_GoPro_T88_2286-633_000000,Bspot2019_009,T88_,0.144455544,-0.115084915,pect,Regen,Bspot
Bspot2018_006_GoPro_T19_1461-213_000000,Bspot2018_006,T19_,0.076677489,0.05275974,pelv,Regen,Bspot
