TrialNamesP,IndivP,TrialP,phasePect,phasePelv,phaseTail,Condition,Species,noseSlope,noseInt,pectSlope,pectInt,pelvSlope,pelvInt,tailSlope,tailInt
Bspot2019_006_GoPro_T84_1627-556_000000,Bspot2019_006,T84_,0.146546841,0.026960784,-0.061144396,Regen,Bspot,0.148084604,0.091666667,0.19795207,0.238213508,0.170152505,0.118627451,0.141893609,0.030522271
Bspot2019_009_GoPro_T85_1491-755_000000,Bspot2019_009,T85_,0.197335379,0.26817602,0.581632653,Regen,Bspot,0.176542208,-0.194196429,0.120572643,0.003138951,0.11386918,0.073979592,0.159438776,0.387436224
Bspot2019_009_GoPro_T86_1411-375_000000,Bspot2019_009,T86_,-0.090367347,-0.105023996,0.003107872,Regen,Bspot,0.208270872,0.051877551,0.179593692,-0.038489796,0.152359273,-0.053146445,0.276122449,0.054985423
Bspot2019_009_GoPro_T87_1700-568_000000,Bspot2019_009,T87_,-0.245418673,-0.385486891,0.089488028,Regen,Bspot,0.289953184,0.150842697,0.21748484,-0.094575976,0.246615837,-0.234644195,0.143061129,0.240330725
Bspot2019_009_GoPro_T88_2286-633_000000,Bspot2019_009,T88_,-0.086553447,-0.048791209,0.000559441,Regen,Bspot,0.213146853,-0.028531469,0.144455544,-0.115084915,0.128371628,-0.077322677,0.360839161,-0.027972028
Xmuco,Xmuco1,1,0.020628968,0.080843254,-0.074152778,Swimming,Muco,0.350772109,-0.112623016,0.382312925,-0.091994048,0.385419218,-0.031779762,0.383507653,-0.186775794
Xmuco,Xmuco1,2,0.156713124,0.019140534,0.194994193,Swimming,Muco,0.293926829,-0.153243902,0.218022648,0.014355401,0.220913666,-0.123217189,0.218321719,0.052636469
Xmuco,Xmuco1,3,-0.057913669,0.001678657,-0.062110312,Swimming,Muco,0.220743405,-0.044484412,0.208153477,-0.102398082,0.215707434,-0.042805755,0.217386091,-0.106594724
Xmuco,Xmuco1,4,0.003353175,0.1584375,0.08047619,Swimming,Muco,0.275798611,-0.200352183,0.331964286,-0.196999008,0.318551587,-0.041914683,0.305977183,-0.119875992
Xmuco,Xmuco1,5,-0.134391534,-0.079794974,-0.149510582,Swimming,Muco,0.263743386,-0.041997354,0.249464286,-0.176388889,0.244424603,-0.121792328,0.233505291,-0.191507937
Xmuco,Xmuco2,1,0.051090116,-0.130696418,0.030474806,Swimming,Muco,0.254355082,-0.123990633,0.253458764,-0.072900517,0.249295866,-0.254687051,0.246885767,-0.093515827
Xmuco,Xmuco2,2,-0.218990964,-0.185557229,0.021731928,Swimming,Muco,0.278614458,0.013930723,0.277246714,-0.205060241,0.278614458,-0.171626506,0.27283954,0.035662651
Xmuco,Xmuco2,3,0.140340306,0.224265733,0.096436256,Swimming,Muco,0.272344484,-0.095241588,0.265017186,0.045098717,0.257749623,0.129024145,0.260835848,0.001194668
Xmuco,Xmuco2,4,0.061006181,-0.116928514,0.046651786,Swimming,Muco,0.222792182,-0.088518773,0.222792182,-0.027512592,0.219402949,-0.205447287,0.211727335,-0.041866987
Xmuco,Xmuco2,5,-0.146521226,-0.088510782,0.038274933,Swimming,Muco,0.191374663,-0.005083389,0.223469789,-0.145325135,0.221276954,-0.08731469,0.221276954,0.039471024
Xmuco,Xmuco3,1,0.028490028,0.045584046,0.011396011,Swimming,Muco,0.082905983,-0.025641026,0.081196581,0.002849003,0.081196581,0.01994302,0.081196581,-0.014245014
Xmuco,Xmuco3,2,-0.030838477,-0.006167695,-0.048220165,Swimming,Muco,0.156435185,0.008410494,0.124955908,-0.022427984,0.133126102,0.002242798,0.135529101,-0.039809671
Xmuco,Xmuco3,3,-0.025093284,-0.181760345,-0.023300906,Swimming,Muco,0.291858786,-0.005974591,0.263877784,-0.031067875,0.255393864,-0.187734936,0.253023943,-0.029275498
Xmuco,Xmuco3,4,0.037994891,-0.028396392,-0.075524159,Swimming,Muco,0.228927203,-0.032966156,0.194923372,0.005028736,0.155651341,-0.061362548,0.157287676,-0.108490315
Xmuco,Xmuco3,5,0.05537415,0.007191448,0.027567217,Swimming,Muco,0.286099773,-0.092290249,0.216462585,-0.0369161,0.15281827,-0.085098801,0.135438937,-0.064723032
Xmuco,Xmuco4,1,-0.036451782,-0.0835587,-0.011215933,Swimming,Muco,0.235534591,-0.047667715,0.187586478,-0.084119497,0.163191824,-0.131226415,0.174968553,-0.058883648
Xmuco,Xmuco4,2,0.044755245,0.068811189,-0.006153846,Swimming,Muco,0.198281718,-0.121958042,0.200679321,-0.077202797,0.201398601,-0.053146853,0.198041958,-0.128111888
Xmuco,Xmuco4,3,0.011013567,0.08084597,0.020510774,Swimming,Muco,0.238527534,-0.215482841,0.246368715,-0.204469274,0.241580208,-0.134636872,0.231284916,-0.194972067
Xmuco,Xmuco4,4,-0.203174603,-0.114733894,-0.202577031,Swimming,Muco,0.261139122,0.08844071,0.264126984,-0.114733894,0.256956116,-0.026293184,0.256358543,-0.114136321
Xmuco,Xmuco4,5,0.050186567,0.075279851,-0.002389837,Swimming,Muco,0.300223214,-0.102762971,0.305301617,-0.052576404,0.308288913,-0.02748312,0.293053705,-0.105152807
Xmuco,Xmuco5,1,-0.025294118,0.029509804,-0.060705882,Swimming,Muco,0.125627451,-0.021078431,0.163568627,-0.046372549,0.134901961,0.008431373,0.142490196,-0.081784314
Xmuco,Xmuco5,2,0.060526316,0.123574561,0.071454678,Swimming,Muco,0.188304094,-0.119371345,0.198391813,-0.058845029,0.19502924,0.004203216,0.184100877,-0.047916667
Xmuco,Xmuco5,3,-0.19267602,-0.010910714,-0.178288265,Swimming,Muco,0.195553571,0.042803571,0.170554847,-0.149872449,0.179127551,0.031892857,0.161862245,-0.135484694
Xmuco,Xmuco5,4,0.054415138,-0.187801988,0.00418578,Swimming,Muco,0.307236239,-0.041020642,0.311422018,0.013394495,0.308551769,-0.22882263,0.301136959,-0.036834862
Xmuco,Xmuco5,5,0.03942754,0.121866942,-0.047790958,Swimming,Muco,0.324679818,-0.137399003,0.332445848,-0.097971463,0.330952381,-0.015532061,0.335731477,-0.18518996
